,channelTitle,videoTitle,videoView,videoLike,videoDislike,videoComment,publishedAt,publishedAt_string,Year,Month,DayofWeek,publishedAt_month,Month_str
180,Schannel,"Đường 2 Chiều phiên bản chị em: Review xe ""Ăn đứt"" Tân 1 Cú, Đức Tóc Dài",86214,2831,45,124,20-03-16,2020-03-16,2020,3,Mon,2020-03,Mar
181,Schannel,󠀀󠀀Lùi kỳ thi THPT Quốc gia đến tháng 8 | Sao Việt kêu gọi ủng hộ chống hạn miền Tây - GNCN 13/3,102479,2885,34,222,20-03-13,2020-03-13,2020,3,Fri,2020-03,Mar
182,Schannel,󠀀󠀀Reaction Là 1 Thằng Con Trai - Jack (J97): MV trở lại sau chuỗi drama có gì?,330398,9644,340,414,20-03-13,2020-03-13,2020,3,Fri,2020-03,Mar
183,Schannel,"Lần đầu xem Phượng Khấu - phim cung đấu VN: Ngập Drama không kém Như Ý Truyện, Diên Hi Công Lược",203322,4564,202,434,20-03-13,2020-03-13,2020,3,Fri,2020-03,Mar
184,Schannel,"PD Pationista Taengoo: ""Taeyeon vẫn ổn nhưng rất buồn"" | K-ICM sẽ ra MV đối đầu Jack? - GNCN 12/3",190894,5541,82,334,20-03-12,2020-03-12,2020,3,Thu,2020-03,Mar
185,Schannel,"Schannel cover vũ điệu rửa tay ""Ghen Cô Vy"" gây sốt toàn thế giới",172380,3781,131,251,20-03-12,2020-03-12,2020,3,Thu,2020-03,Mar
186,Schannel,Bản tin #26: VN đã có #44 | Richkid Tiên Nguyễn nói gì khi bị bệnh | Xử phạt người tung tin giả,171949,3856,72,282,20-03-12,2020-03-12,2020,3,Thu,2020-03,Mar
187,Schannel,Jack lập kỉ lục 10 triệu views trong 24h | Vinfast được gọi là “kẻ thách thức ngành ô tô thế giới’,368794,8535,190,670,20-03-11,2020-03-11,2020,3,Wed,2020-03,Mar
188,Schannel,"MV ""Là một thằng con trai"" của Jack : Bên cạnh kỉ lục là rất nhiều lời chê về nhạc & phong cách ?",185085,5847,493,568,20-03-11,2020-03-11,2020,3,Wed,2020-03,Mar
189,Schannel,"󠀀󠀀OPPO Find X2 nóng hổi: Màn hình 2K tần số quét 120Hz, Snap 865, Sạc 30p đầy pin!",14535,380,27,98,20-03-11,2020-03-11,2020,3,Wed,2020-03,Mar
190,Schannel,Vlog Mi Sơn : Lần đầu Câu được con Cá to bằng anh Huy ???,159534,4261,47,169,20-03-11,2020-03-11,2020,3,Wed,2020-03,Mar
191,Schannel,"Jack chính thức tung MV “Là 1 thằng con trai"" | “Giày G-Dragon” được rao bán 500 triệu ! - GNCN 10/3",443271,11034,260,526,20-03-10,2020-03-10,2020,3,Tue,2020-03,Mar
192,Schannel,Bản tin #25: Thuê chuyên cơ 10 tỉ đưa #32 về VN | Bản đồ Covid-19 ko đúng | Phong toả toàn bộ nước Ý,214716,4938,75,629,20-03-10,2020-03-10,2020,3,Tue,2020-03,Mar
193,Schannel,"Jack tung teaser MV, khẳng định không chiêu trò |  Gia đình Go Hara kiện cáo tranh tài sản -GNCN 9/3",177840,5062,99,211,20-03-09,2020-03-09,2020,3,Mon,2020-03,Mar
194,Schannel,"Bản tin Corona #24 : Bị ném đá vì bênh vực bệnh nhân thứ 17 | VN đã có 30 ca, diễn biến phức tạp",518902,8335,254,1419,20-03-09,2020-03-09,2020,3,Mon,2020-03,Mar
195,Schannel,󠀀󠀀Lần đầu AMEE đến Schannel tiết lộ thứ về MV Sao Anh Chưa Về Nhà !,175534,5818,83,296,20-03-08,2020-03-08,2020,3,Sun,2020-03,Mar
196,Schannel,"󠀀󠀀S News t1/T3: Google chống dịch cả ngoài đời lẫn trên mạng, Bphone 4 có lịch ra mắt, TCL máy gập",69750,1730,51,86,20-03-08,2020-03-08,2020,3,Sun,2020-03,Mar
197,Schannel,"󠀀󠀀#TeamUT Đức Kây ATM bao chị em ăn chơi náo loạn Vincom PNT: Uniqlo, Pizza 4Ps...",216392,5270,83,274,20-03-08,2020-03-08,2020,3,Sun,2020-03,Mar
198,Schannel,󠀀󠀀Quỳnh Trần xoá loạt video sau drama | 2 nhân vật khủng hợp tác với Jack trong MV mới - GNCN 7/3,313241,8756,152,298,20-03-07,2020-03-07,2020,3,Sat,2020-03,Mar
199,Schannel,Chọn Quà Random: Quà Khó Đỡ cho Team Nữ Schannel ngày 8/3,180549,4657,63,131,20-03-07,2020-03-07,2020,3,Sat,2020-03,Mar
200,Schannel,"GAME HACK NÃO: Đoán tên các tỉnh, thành phố chỉ bằng một hình ảnh!",184793,4434,93,376,20-03-08,2020-03-08,2020,3,Sun,2020-03,Mar
201,Schannel,󠀀󠀀Bản Tin #23 : Cô Nhung làm cả HN hoảng loạn trong 1 đêm | Giải thích mọi fake news,382553,9623,220,999,20-03-07,2020-03-07,2020,3,Sat,2020-03,Mar
202,Schannel,GIẢI MÃ những câu nói của con gái | Phiên bản lầy lội Hỏi Xoay Đáp Xoáy,91830,1768,77,55,20-03-07,2020-03-07,2020,3,Sat,2020-03,Mar
203,Schannel,Uniqlo hot nhất đêm qua vì cô gái tên Nhung | Hoa khổng lồ siêu đắt hút khách 8/3 - GNCN 6/3,125192,3031,94,118,20-03-06,2020-03-06,2020,3,Fri,2020-03,Mar
204,Schannel,"󠀀󠀀Không mua quà 8/3 cho vợ, Sếp Huy cùng anh em Schannel tặng núi quà cho các chị em",353917,9748,85,381,20-03-06,2020-03-06,2020,3,Fri,2020-03,Mar
205,Schannel,󠀀󠀀Bản tin Corona #22: Ghen Cô Vy hot toàn cầu | Châu Bùi khóc vì bị cách ly | Dịch lan mạnh ở Mỹ..,170842,4200,71,251,20-03-06,2020-03-06,2020,3,Fri,2020-03,Mar
206,Schannel,"Bắp cần bơ, còn team Schannel cần gì 8/3?",64435,2444,33,101,20-03-06,2020-03-06,2020,3,Fri,2020-03,Mar
207,Schannel,Thử thách cực căng: Mua quần áo phụ kiện siêu sang chảnh cùng Hương Witch,151574,4419,81,250,20-03-10,2020-03-10,2020,3,Tue,2020-03,Mar
208,Schannel,Cà khịa Hàn Quốc : Ăn cả thế giới bánh mì siêu ngon siêu lạ ở VN,227545,7202,113,252,20-03-09,2020-03-09,2020,3,Mon,2020-03,Mar
209,Schannel,󠀀󠀀Fanpage Quỳnh Trần JP bị khủng bố | Sơn Tùng M-TP có lượng subscribers nhiều nhất V-POP - GNCN,494992,12664,210,815,20-03-05,2020-03-05,2020,3,Thu,2020-03,Mar
210,Schannel,Reaction Chiếc Là Cuối Cùng - Quyền Năng Đất Mẹ: Giải mã các câu nói của 1977 Vlog,234258,6789,202,307,20-03-05,2020-03-05,2020,3,Thu,2020-03,Mar
211,Schannel,Trên tay OPPO A91 - Điện thoại của Hoa Hậu Hương Giang: Nhanh khỏi bàn cãi!,43963,1089,51,96,20-03-05,2020-03-05,2020,3,Thu,2020-03,Mar
212,Schannel,󠀀󠀀Vinh Râu FAPtv tranh cãi vs fan BTS | 1977 Vlogs #1 Trending chỉ sau 4 ngày - GNCN 4/3,298124,8510,247,1553,20-03-04,2020-03-04,2020,3,Wed,2020-03,Mar
213,Schannel,Bản tin Corona #21: Ghen Cô Vy viral ở Mỹ? | YTN HQ lên tiếng vụ 20 khách ở ĐN | Dịch bệnh ở TQ,382040,9537,180,519,20-03-04,2020-03-04,2020,3,Wed,2020-03,Mar
214,Schannel,"󠀀󠀀Khi Schannel đú trend  TikTok thả thính ""Trứng rán cần mỡ | Bắp cần bơ""",645861,16510,349,567,20-03-05,2020-03-05,2020,3,Thu,2020-03,Mar
